text,label
AP-78,hostname
255.255.248.0,subnet mask
Tunnel3633,interface
.6/30,uncomplete_ip
HTTPS,protocol
Ethernet6/40,interface
Firepower 2100,device type
2529,vlan id
FTP,protocol
210.135.218.42,ip address
ip domain-name,configuration command
no shutdown,configuration command
Nexus 9000,device type
f3:f5:c2:d7:fb:df,mac address
3925,vlan id
255.0.0.0,subnet mask
Cisco 1941,device type
router bgp,configuration command
IPsec,protocol
Serial6/2,interface
6e:5e:91:a7:f3:3f,mac address
.224.185,uncomplete_ip
9e:73:23:62:ce:47,mac address
370,vlan id
Cisco 1941,device type
TFTP,protocol
840,vlan id
a7:aa:b9:da:11:b0,mac address
Meraki MR46,device type
TCP,protocol
86,vlan id
Tunnel3035,interface
81:86:8c:9c:7e:13,mac address
Loopback3320,interface
245.34.254.199,ip address
spanning-tree mode rapid-pvst,configuration command
Router-85,hostname
192.133,uncomplete_ip
.222.126,uncomplete_ip
Port-channel732,interface
3983,vlan id
255.255.248.0,subnet mask
31.17.43.242,ip address
TenGigabitEthernet0/38,interface
a6:28:23:c4:dc:07,mac address
255.255.248.0,subnet mask
1494,vlan id
671,vlan id
Cisco 1941,device type
Ethernet2/23,interface
Linux Server,device type
Printer-21,hostname
ASA 5506-X,device type
ASA 5506-X,device type
3213,vlan id
Firewall-62,hostname
Edge-23,hostname
255.255.255.240,subnet mask
255.154.10.123,ip address
2605,vlan id
c4:9f:72:81:d5:77,mac address
Meraki MR46,device type
772,vlan id
Port-channel2989,interface
Tunnel2198,interface
126.5.49.212,ip address
Laptop-34,hostname
f3:40:53:0a:10:8e,mac address
Vlan1694,interface
.235/10,uncomplete_ip
92.122,uncomplete_ip
Ethernet0/4,interface
SNMP,protocol
255.255.248.0,subnet mask
3255,vlan id
.18.100.62,uncomplete_ip
255.255.255.240,subnet mask
Cisco 4331,device type
MPLS,protocol
Serial0/0,interface
1251,vlan id
PAgP,protocol
68.216.212.93,ip address
255.255.255.128,subnet mask
Printer-51,hostname
255.255.255.192,subnet mask
MPLS,protocol
Aironet 3800,device type
2662,vlan id
154.138.86.210,ip address
Printer-05,hostname
255.255.255.0,subnet mask
TFTP,protocol
Meraki MR46,device type
113.152,uncomplete_ip
transport input ssh,configuration command
29:d4:2d:42:0a:de,mac address
no shutdown,configuration command
Windows Server,device type
AP-95,hostname
SSH,protocol
ISIS,protocol
Port-channel2361,interface
255.255.255.192,subnet mask
Access-78,hostname
30.35.230.196,ip address
Port-channel3584,interface
255.255.255.128,subnet mask
Cisco 4331,device type
72.177.154.220,ip address
WLC-52,hostname
66.86,uncomplete_ip
switchport mode trunk,configuration command
84.89.150.81,ip address
Switch-25,hostname
1731,vlan id
Vlan3752,interface
c4:2f:ee:cd:12:4a,mac address
Meraki MR46,device type
255.0.0.0,subnet mask
Ethernet4/20,interface
Laptop-34,hostname
205.209.133.118,ip address
255.255.255.0,subnet mask
255.0.0.0,subnet mask
Cisco 4331,device type
1444,vlan id
02:c2:2e:d9:7f:cf,mac address
